id,created_at,text
1061946304874590208,Mon Nov 12 11:38:23 +0000 2018,@xsiemprelulu Antes tenía Codeina...creo
1061876473047453696,Mon Nov 12 07:00:54 +0000 2018,Guacho no sos trap esa codeina no pega m pega más fumarme una seka
1061873126424956929,Mon Nov 12 06:47:36 +0000 2018,"Acabo de ver codeina, la robaré."
1061859970151600128,Mon Nov 12 05:55:19 +0000 2018,Ella le echa codeína al refresco Dice que yo se lo hago perfecto Ella se volvió adicta al sexo Me lo mama por el expreso💃🏻
1061847544014221312,Mon Nov 12 05:05:57 +0000 2018,Y si traes la codeINA INA INA INA
1061845704983937024,Mon Nov 12 04:58:38 +0000 2018,Quiero llevarte a mi cuarto hacerlo  sin condon 🤯🗣🤤a ella le gusta mezclar codeína con oxycodone 🤤🤯💃🏽!
1061842485893189637,Mon Nov 12 04:45:51 +0000 2018,Acetaminofén con Codeína y a mimir.
1061832548718919680,Mon Nov 12 04:06:22 +0000 2018,"Yo no tomo codeína y voy el doble de slow, a falta de vitamina cargada encima del blunt"
1061816431610871808,Mon Nov 12 03:02:19 +0000 2018,"@elinformanteTVN Desde el año 73 que estos csm vagos se robaron  chile, milicos culiaos pasados a codeína"
1061803198028046336,Mon Nov 12 02:09:44 +0000 2018,Todos los caminos conducen a la codeína.
1061793324200267778,Mon Nov 12 01:30:30 +0000 2018,Yo no tomo codeína y vos el 2ble de slowww
1061793115638505473,Mon Nov 12 01:29:40 +0000 2018,@LeticiaDolera Llevo encadenando resfriados desde julio 🤧. Lo único que me ha funcionado es el jarabe con codeína.
1061776330000420865,Mon Nov 12 00:22:58 +0000 2018,Yo no tomo codeína y voy el doble d slowwww
1061749766399410179,Sun Nov 11 22:37:25 +0000 2018,"Codeina combinada con frescolita, la prefiero así porque sabe más dulcita"
1061739819137724416,Sun Nov 11 21:57:53 +0000 2018,flipa cmo m he motivao con codeína d ñengo flow antes d ducharme JAJAJAJAHAHAJAJ
1061737058144829440,Sun Nov 11 21:46:55 +0000 2018,Yo no tomo codeína y voy el doble de slow
1061731741533118465,Sun Nov 11 21:25:47 +0000 2018,Deja la codeína y juega así siempre @Benzema
1061727203233357826,Sun Nov 11 21:07:45 +0000 2018,traiganme 50 litros de codeina para calmarme jesus
1061694191930167298,Sun Nov 11 18:56:35 +0000 2018,yo escucho trap de codeina rolo y me imagino el emoji ese del diablo morado jajaja que risa
1061692786829942784,Sun Nov 11 18:51:00 +0000 2018,"yo no tomo codeina con sprite, con mis panas compramos old john y lo bajamos con hit de mango"
1061688259888197633,Sun Nov 11 18:33:01 +0000 2018,codeina!! rayitas rayitas
1061686608045465605,Sun Nov 11 18:26:27 +0000 2018,"Quiero llevarte a mi cuarto, hacerlo sin condon, a ella le gusta mezclar codeína y oxycodone"
1061685767834165248,Sun Nov 11 18:23:06 +0000 2018,@codeina_1 Una vera idiota
1061681587253862400,Sun Nov 11 18:06:30 +0000 2018,@masebram ahreeeeeee con el fernetttttttt y codeina
1061655747749208065,Sun Nov 11 16:23:49 +0000 2018,Yo no tomo codeína y voy el doble de slow
1061655415707107328,Sun Nov 11 16:22:30 +0000 2018,"@elioogarcia Con yogourt de fresa y codeina, senda nota mrc."
1061653236501876737,Sun Nov 11 16:13:50 +0000 2018,esa puta baila para mi en una esquina  bien colocada de codeina
1061622644364197888,Sun Nov 11 14:12:17 +0000 2018,Domingo rima con codeína.
1061571101866815489,Sun Nov 11 10:47:28 +0000 2018,"Necesito un tiempo, dame codeina..."
1061519992934592512,Sun Nov 11 07:24:23 +0000 2018,"Vladimir, Eferalgand con codeína y a dormir."
1061489679898419202,Sun Nov 11 05:23:55 +0000 2018,Recuerden me no volverle a dar codeina a Irene.
1061480306782453760,Sun Nov 11 04:46:41 +0000 2018,@agxxsz aguante la codeina
1061468828507533312,Sun Nov 11 04:01:04 +0000 2018,"@facu_nieva45 Uy mucha codeína en mi cuerpo que está leyendo cualquier cosa, jajajajajajja"
1061466245327937536,Sun Nov 11 03:50:48 +0000 2018,Y si traes la codeína ina-ina-ina Que no te olvides de la lima-lima-lima-lima🎶
1061456166931349510,Sun Nov 11 03:10:45 +0000 2018,A ella le gusta mezclar codeína y oxycodoneee
1061455987842924544,Sun Nov 11 03:10:03 +0000 2018,Para esta gripa sólo quiero que me abraces y un acetaminofen con codeina..
1061455925825933312,Sun Nov 11 03:09:48 +0000 2018,Yo no tomo codeina y voy el doble de slow
1061443829956595712,Sun Nov 11 02:21:44 +0000 2018,Mezcla codeína con Percocet
1061441588453355520,Sun Nov 11 02:12:49 +0000 2018,CODEÍNA COMBINADA CON FRESCOLITA
1061440158355079168,Sun Nov 11 02:07:09 +0000 2018,Yo no tomo codeína y voy el doble de loco
1061415700496089093,Sun Nov 11 00:29:57 +0000 2018,@vvalentinadd y si traes la codeína..
1061415011472601090,Sun Nov 11 00:27:13 +0000 2018,Yo me tomo codeina y voy el doble de loco
1061414827367845889,Sun Nov 11 00:26:29 +0000 2018,nunca probaron la codeina 😝
1061403526729998336,Sat Nov 10 23:41:35 +0000 2018,Qué ganas de tomar codeína y tramadol al 100
1061396162501136384,Sat Nov 10 23:12:19 +0000 2018,Eh u bonde da codeína Te matando tranquilin
1061382775683592193,Sat Nov 10 22:19:07 +0000 2018,Y si traes la codeína
1061382227194494976,Sat Nov 10 22:16:57 +0000 2018,Lágrimas de codeína
