id,created_at,text
1061965374084866049,Mon Nov 12 12:54:10 +0000 2018,Mi puta en ketamina mira qué lindo camina 🎼
1061900394513788928,Mon Nov 12 08:35:57 +0000 2018,"Me viste con cara de cadáver en bares, cabarets, afterhours. Exposao y contra la pared, to pasao, ketamina, jarabe..."
1061844710925451264,Mon Nov 12 04:54:41 +0000 2018,@ruubicg Con Ketamina.
1061727194760781824,Sun Nov 11 21:07:43 +0000 2018,en el after me ofrecieron ketamina???? filo que pensé que me iban a matar
1061714314636222468,Sun Nov 11 20:16:32 +0000 2018,madre mía he soñado que me metía ketamina
1061690670853832704,Sun Nov 11 18:42:35 +0000 2018,sale esa ketamina
1061377672889155584,Sat Nov 10 21:58:51 +0000 2018,@JuanRealDC Creo que es Ketamina
1061083409576013824,Sat Nov 10 02:29:33 +0000 2018,"Mira cómo esto se hace Tu wacha te trajo lo' pase' Jodiendo con la ketamina Se mueve arrastrada, qué linda"
1060999029843210240,Fri Nov 09 20:54:15 +0000 2018,Ketamina eh oto negocio
1060945625188048896,Fri Nov 09 17:22:03 +0000 2018,"seas quien seas, si estas leyendo esto,  solo quería preguntarte q q opinas de la ketamina y las drogas duras"
1060870189699555330,Fri Nov 09 12:22:17 +0000 2018,@FernandoArmasCa suave con la anestesia q es ketamina y te hace decir hasta tu clave del cel jajaja
1060853679329341441,Fri Nov 09 11:16:41 +0000 2018,EXCLUSIVA: Científicos de la Universidad de la Meca hallan ketamina en los transistores.
1060813945815097344,Fri Nov 09 08:38:48 +0000 2018,"Esl sistrma nos quiere ludopatas. Es mejor consumir marihuana,setas mágicas y CON MUCHO CONTROL ketamina y MDMA."
1060768980288356353,Fri Nov 09 05:40:07 +0000 2018,@NatiesunJaguar La KETAMINA
1060720168437985280,Fri Nov 09 02:26:10 +0000 2018,Jodiendo con la ketamina
1060674409013354502,Thu Nov 08 23:24:20 +0000 2018,Ketamina pa' este enfermo
1060586672285462528,Thu Nov 08 17:35:42 +0000 2018,"Nadar en ketamina no está mal,pero tú no nadas."
1060559764902592512,Thu Nov 08 15:48:46 +0000 2018,Ketamina pa' este enfermo Licor en las heridas MD en las bebidas...😵
1060553019165732864,Thu Nov 08 15:21:58 +0000 2018,@tiimvargas la solucion es : KETAMINA
1060551348335362048,Thu Nov 08 15:15:20 +0000 2018,@canal26noticias el olor es a paco ketamina y viagra y semen por eso mi cara de idiota una vez por semana .pero no apoyan
1060245024280068096,Wed Nov 07 18:58:06 +0000 2018,"¡ketamina para todos! ah, no, dispensen, que apenas estamos discutiendo sobre la regulación de la marihuana 😬 #legilizeit"
1060234095693828099,Wed Nov 07 18:14:41 +0000 2018,Me dijo elije entre yo y la ketamina y desde entonces llevo una ostia que alucinas
1060226176457805824,Wed Nov 07 17:43:13 +0000 2018,Que ganas de un nevado con mucha ketamina
1060222651145338882,Wed Nov 07 17:29:12 +0000 2018,@trendehate Yo tengo 3 teorías  1. Tenía diarrea  2. Metió mucha ketamina entonces tenía el ano muy relajado 3. Yo estaba en también caerás
1060208298916564992,Wed Nov 07 16:32:10 +0000 2018,jodiendl con la ketamina
1060200819327426560,Wed Nov 07 16:02:27 +0000 2018,grep 'ketamina' /Madrid
1060098330334715904,Wed Nov 07 09:15:12 +0000 2018,Después de conseguir el éxito moriré de una sobredosis de morfina y ketamina.
1060011323600355328,Wed Nov 07 03:29:28 +0000 2018,@JoSSemiB Ketamina aka relajante para caballos si quieres te paso mi medio poyo
1059977995018997760,Wed Nov 07 01:17:02 +0000 2018,OPINIÓN: ¿Estaba Stephen Hawking equivocado sobre la ketamina?
1059976601616691201,Wed Nov 07 01:11:29 +0000 2018,Que ganas de Ketamina + Midazolam.
1059957230148206593,Tue Nov 06 23:54:31 +0000 2018,Metele la ketamina mami - Acción poética de Katy
1059946608287203328,Tue Nov 06 23:12:18 +0000 2018,@centralman15 @SoIdadaDeCristo A esta señora le han puesto ketamina en el bote de la sacarina.
1059930083975147521,Tue Nov 06 22:06:39 +0000 2018,Compadres rascando ketamina de un plato
1059895264511692800,Tue Nov 06 19:48:17 +0000 2018,@drfelipejimenez @patris112 @pablobusca @JLPerezOlmo Vía de admnon de la ketamina por favor? Enhorabuena
1059865421560639488,Tue Nov 06 17:49:42 +0000 2018,@soyunclitoriss Pues como no estes en la cárcel y seas adicta a la ketamina no se como han podido ir a peor xdd
1059791989728788487,Tue Nov 06 12:57:54 +0000 2018,@kinddasadnesss ketamina vitaminaaaaaaa
1059788630703661056,Tue Nov 06 12:44:34 +0000 2018,Ke es la ketamina alguien lo sabe
1059616144242434048,Tue Nov 06 01:19:10 +0000 2018,jodiendo con la ketamina
1059611819919187968,Tue Nov 06 01:01:59 +0000 2018,💛hoy me fuí a hacer las uñas con una chica por primera vez y hablamos de nuestros ex y ketamina💛
1059599348898717704,Tue Nov 06 00:12:25 +0000 2018,ALABADA SEA LA KETAMINA
