id,created_at,text
1062015717095149570,Mon Nov 12 16:14:12 +0000 2018,Un desfaz en la balanza ya nadie sabe su peso Con tanta metanfetamina ya no saben tus besos
1062004970642391040,Mon Nov 12 15:31:30 +0000 2018,@Antweetmoral @notipuche Deben ser los muchos dolares y la metanfetamina que no la dejan pensar
1062004935242473475,Mon Nov 12 15:31:22 +0000 2018,metanfetamina para almorzar
1061827583145328641,Mon Nov 12 03:46:38 +0000 2018,"Lo que para Walter White en Breaking Bad es cocinar y vender metanfetamina, para Jimmy McGill en Better Call Saul es estafar a la gente alv."
1061734758286327808,Sun Nov 11 21:37:47 +0000 2018,"La heroína, la cocaína, la nicotina, la metanfetamina o la OxyCotin no son nada contra ti..."
1061715161709457414,Sun Nov 11 20:19:54 +0000 2018,@Politica_LR @larepublica_pe Ese fiscal tiene una imaginación d pelicula o se ha fumado uno puro 100% metanfetamina
1061609866601607168,Sun Nov 11 13:21:30 +0000 2018,Ya nise como dormir en una cama. Me siento tan incomodo
1061609676675182593,Sun Nov 11 13:20:45 +0000 2018,Esta cabron extrañar
1061464151413940224,Sun Nov 11 03:42:29 +0000 2018,Emputado
1061464132657053696,Sun Nov 11 03:42:24 +0000 2018,Cansado
1061430470490144770,Sun Nov 11 01:28:39 +0000 2018,@damage_pais @Vander_Son1 @porra__anninha @lucarvz Metanfetamina
1061402039018762241,Sat Nov 10 23:35:40 +0000 2018,@MarleneDiafano Este se ha pasado con la metanfetamina.
1061395085936463872,Sat Nov 10 23:08:02 +0000 2018,"@_Mm_Kay Ya existe, se llama metanfetamina"
1061339118469369856,Sat Nov 10 19:25:39 +0000 2018,"Si puedo escribir ""Lolita Ayala Metanfetamina"" significa que aún no estoy pacheca-@polirexx, 2018"
1061334410644074496,Sat Nov 10 19:06:56 +0000 2018,@LosGenoveses @Javiernoestaco2 @Rafa_Hernando Este tio esta muy mal que devuelva el sueldo. Y que deje la METANFETAMINA
1061209519227834368,Sat Nov 10 10:50:40 +0000 2018,@Umakoth @Pantomima_Full Metanfetamina
1061027108221317121,Fri Nov 09 22:45:50 +0000 2018,@ropita34 @shambawamba @maeral @Sergioguerra08 Y ud paloma con metanfetamina? 😂
1061017153137045505,Fri Nov 09 22:06:16 +0000 2018,Necesito metanfetamina en mi vida
1060991697147121664,Fri Nov 09 20:25:07 +0000 2018,Como no se cocinar metanfetamina azul☹️
1060990425253756928,Fri Nov 09 20:20:04 +0000 2018,@Ivan_Ramirez96 Metanfetamina mándale a fran
1060912274678923264,Fri Nov 09 15:09:31 +0000 2018,"@facuveitt Decí que Tito es profesor de física y no química, porque sino alto laboratorio de metanfetamina se hace"
1060898788406116353,Fri Nov 09 14:15:56 +0000 2018,@A7ekx @fergvd Van a censurar a Heisenberg por ser poco ético y promover la venta de metanfetamina 😂😂😂
1060844543862542338,Fri Nov 09 10:40:23 +0000 2018,@ferazul77 @LaikaOrbital O dí o de Hitler e a metanfetamina
1060723689782697987,Fri Nov 09 02:40:09 +0000 2018,"Dejé 2hrs a rodri con agu y ya anda diciendo por TODA la casa ""metanfetamina man"" ""chupa pija"""
1060713097231560704,Fri Nov 09 01:58:04 +0000 2018,Ella es más adictiva que la metanfetamina
1060711861711241218,Fri Nov 09 01:53:09 +0000 2018,"Me cerraron quimica con 10, se viene la cocina de metanfetamina"
1060684233935634434,Fri Nov 09 00:03:22 +0000 2018,@VidaModernaOML #LaVidaModerna es cocinar metanfetamina en la Thermomix.
1060674127168712706,Thu Nov 08 23:23:12 +0000 2018,@louvabreja Metanfetamina?
1060620036438704131,Thu Nov 08 19:48:16 +0000 2018,"@DarkyBSM @Avinit_jazznaz @kira_95 Crack, caballo, heroina, metanfetamina, cocaina, speed, polen, hachis, maria, H"
1060574831391977472,Thu Nov 08 16:48:38 +0000 2018,@Ar13L__ Metanfetamina??
1060569579842347008,Thu Nov 08 16:27:46 +0000 2018,Que tan ilegal es cocinar metanfetamina?
1060414679510585344,Thu Nov 08 06:12:15 +0000 2018,Turbo me urge una dieta rica en metanfetamina cristalizada para sólo tomar agüita.
1060414679510585344,Thu Nov 08 06:12:15 +0000 2018,Turbo me urge una dieta rica en metanfetamina cristalizada para sólo tomar agüita.
1060379919040032768,Thu Nov 08 03:54:08 +0000 2018,@_deluvi manejaba una red de narcotráfico de metanfetamina en sus tiempos dorados
1060378591890817025,Thu Nov 08 03:48:51 +0000 2018,Si yo hubiera sido metanfetamina tal vez me hubieras necesitado como yo a ti.
1060359926931955717,Thu Nov 08 02:34:41 +0000 2018,Esto es más adictivo que la metanfetamina #ElTrabajoDeDaniela
1060338917415755777,Thu Nov 08 01:11:12 +0000 2018,"Papito, que ganas de probar la metanfetamina de Walter White. La más ricarda"
1060338463126552576,Thu Nov 08 01:09:24 +0000 2018,"@JoseCardenas1 Lo que faltaba, así que salgan los adictos, al tabaco, coca, metanfetamina etc. Camino a la cuarta degeneración!"
1060333491546669056,Thu Nov 08 00:49:39 +0000 2018,"Inconscientemente mi cuerpo pide químico, metanfetamina o perico, algo q me ponga toxico me tuerza el hocico"
1060331514548887553,Thu Nov 08 00:41:47 +0000 2018,"Hoy estaba como una loca alterada, adicta a la metanfetamina. Perdón gente que se relaciona conmigo estoy re loca en esta época del año."
1060298400363626496,Wed Nov 07 22:30:12 +0000 2018,@MarianoVatcoff Algun tipo de metanfetamina
1060275535291531265,Wed Nov 07 20:59:21 +0000 2018,Muy fans de Breaking Bad y no consumen metanfetamina.
1060274469187579906,Wed Nov 07 20:55:07 +0000 2018,Jugar con Aarons es el equivalente para mi a lo que es la metanfetamina para un drogadicto
1060240919402696704,Wed Nov 07 18:41:48 +0000 2018,#GoldenFest2018 @GoldenSV metanfetamina
1060221880773283840,Wed Nov 07 17:26:09 +0000 2018,"@Mephistophelxs ""¿La metanfetamina? ¿O ya la has consumido toda?"" (??)"
1060196345515048963,Wed Nov 07 15:44:40 +0000 2018,@MaterialistBoy No hombre también pasan metanfetamina y viagra
1060187896550998017,Wed Nov 07 15:11:06 +0000 2018,@Ignacioperezca Pinto la metanfetamina
1060183427209744389,Wed Nov 07 14:53:20 +0000 2018,@d_salcedo @SensaCine @AceroyMagia Con metanfetamina para entenderla mejor
1060173832835817472,Wed Nov 07 14:15:13 +0000 2018,Ojalá en la película Walter Jr. siga con el negocio de la metanfetamina pero la policía lo agarre porque camina para el orto.
1060161247516258307,Wed Nov 07 13:25:12 +0000 2018,@gaiascap Metanfetamina
