id,created_at,text
1062066975851966465,Mon Nov 12 19:37:53 +0000 2018,@SoyFedelobo Por eso es mejor comer tamales que metanfetaminas
1061646846131666944,Sun Nov 11 15:48:27 +0000 2018,"@swcttninetxn Mi madre seguramente estuvo hasta el límite de una sobredosis de metanfetaminas cuando me puso el nombre, qué te esperabas."
1061480838586687489,Sun Nov 11 04:48:47 +0000 2018,@majitocampo @DaiGonzalez97 cuando nuestras ventas de metanfetaminas incrementen jaha
1061234319056949248,Sat Nov 10 12:29:13 +0000 2018,Como que tener un abdomen plano sin ayuda de metanfetaminas no es tan fácil como creía.
1061122140391518208,Sat Nov 10 05:03:27 +0000 2018,@lasillarota @FelipeCalderon Fecaloides y metanfetaminas!
1061071514521395201,Sat Nov 10 01:42:17 +0000 2018,@alvarobautistaa Metanfetaminas
1061028236661059584,Fri Nov 09 22:50:19 +0000 2018,@ux92 Creo que tiene metanfetaminas
1061022742605004800,Fri Nov 09 22:28:29 +0000 2018,"@g_quadri @LeslieStainesF El alcohol peor que heroína, cocaína, metanfetaminas? no!"
1060993487976439810,Fri Nov 09 20:32:14 +0000 2018,Y porque no tengo a mano metanfetaminas y prozac.
1060972549960617984,Fri Nov 09 19:09:02 +0000 2018,yo soy super haragana pero cuando tengo cosas para hacer me paso de rosca mal peor que maru botana desayunando metanfetaminas
1060961986383618048,Fri Nov 09 18:27:03 +0000 2018,"@cinescape_peru Que si!!! Metanfetaminas para todos, Perras"
1060925821341315073,Fri Nov 09 16:03:21 +0000 2018,"menos política, más metanfetaminas"
1060915531128209408,Fri Nov 09 15:22:28 +0000 2018,"@Excelsior Y qué va a pasar con la producción de las metanfetaminas, cocaína, heroína, crimen organizado?? Qué va a regular eso?"
1060761149975814149,Fri Nov 09 05:09:00 +0000 2018,"Me voy a dormir y capaz  sueño con mi chongo o metanfetaminas, una de dos seguro jaj"
1060711059579957249,Fri Nov 09 01:49:58 +0000 2018,@Alvaroacostaa1 futuro ingeniero químico y cocinero de metanfetaminas
1060699355026321409,Fri Nov 09 01:03:27 +0000 2018,@ivannchairez @gabosalazar21 Ándale quedaré decir metanfetaminas
1060697484538740738,Fri Nov 09 00:56:01 +0000 2018,@supermacana @gabosalazar21 Quedarás decir metanfetaminas
1060676575316885504,Thu Nov 08 23:32:56 +0000 2018,Voy a morir en metanfetaminas
1060673771391074304,Thu Nov 08 23:21:48 +0000 2018,@fabigomez @retuiteandolo Ella se ve así porque se metía metanfetaminas :(
1060646049117810694,Thu Nov 08 21:31:38 +0000 2018,@LTGarlic Hij@s el de la paloma doy Fe de que es verdad... era joven y las metanfetaminas estaban de moda y una cosa llevó a la otra...
1060502460593266688,Thu Nov 08 12:01:04 +0000 2018,Ayer me puse a ver breaking bad y ahora me estoy yendo a comprar cosas para empezar a hacer mi emprendimiento de metanfetaminas. Adiós  xD
1060394077601099777,Thu Nov 08 04:50:23 +0000 2018,"@Soyfurrr Metanfetaminas, estoy especulando 🤔"
1060349273685016576,Thu Nov 08 01:52:21 +0000 2018,"@micaag14 jajaja te paso el trapo con mi internado en donde los profes venden metanfetaminas para Ana, dueña de un telo"
1060343382533423104,Thu Nov 08 01:28:57 +0000 2018,"Quiero vender metanfetaminas, a donde envio mi CV ?"
1060323013940281345,Thu Nov 08 00:08:01 +0000 2018,Oigan alguien sabe el instagram de la morra que la drogaron con metanfetaminas en un billar en halloween ???
1060308854674735106,Wed Nov 07 23:11:45 +0000 2018,@AreliReyna Por eso no me junto con gente que consume metanfetaminas
1060303658271813633,Wed Nov 07 22:51:06 +0000 2018,"El profe nos está explicando como hacer metanfetaminas, el lunes empiezo mi emprendimiento"
1060293001182830592,Wed Nov 07 22:08:45 +0000 2018,No manche profe como que en el laboratorio de Quimica no podemos hacer crystal y metanfetaminas😒
1060219657712553984,Wed Nov 07 17:17:18 +0000 2018,@FouFlowerMagus Kissu en la cheek.  —Fumemos metanfetaminas.
1060208715880714240,Wed Nov 07 16:33:50 +0000 2018,@Adri_Quinones Quizás cocina metanfetaminas (?) jajaj
1060199609249751041,Wed Nov 07 15:57:39 +0000 2018,¡Oye!   Te hacen falta metanfetaminas.
1060042753797693440,Wed Nov 07 05:34:21 +0000 2018,"@Mikegamboa17 Cocinaría metanfetaminas con p2p y juntaria 737,000 mil dls para mi familia antes de morir"
1060037647362473987,Wed Nov 07 05:14:04 +0000 2018,"@Soypinchewey Yo por eso puro perico, nada de metanfetaminas."
1059989431627636736,Wed Nov 07 02:02:28 +0000 2018,Yo: una vez vi un documental de como hacian metanfetaminas...   Cristi: -.- Ceci! Era la serie de breaking bad
