id,created_at,text
1062013881147629568,Mon Nov 12 16:06:55 +0000 2018,"Mi vida, mis opciones, mis errores, mis lecciones."
1062012950511304704,Mon Nov 12 16:03:13 +0000 2018,No te dejes para después.
1062009700059889664,Mon Nov 12 15:50:18 +0000 2018,Adiós expectativas.
1062008750977044480,Mon Nov 12 15:46:32 +0000 2018,Me gusta la capacidad que tienen algunas personas para decir las cosas directamente y sin miedo.
1062008027220459522,Mon Nov 12 15:43:39 +0000 2018,"La vida no para, no espera, no avisa."
1061986361727746049,Mon Nov 12 14:17:34 +0000 2018,"Siempre,siempre."
1061965594533203969,Mon Nov 12 12:55:02 +0000 2018,@itsmoonlightt_ soy un boss secreto desbloqueable por el poder de la nicotina
1061963690243690496,Mon Nov 12 12:47:28 +0000 2018,@AlejandroFdezW 💪💪💪💪Enhorabuena!! Yo llevo 23 libre de nicotina!!!
1061879522876968960,Mon Nov 12 07:13:01 +0000 2018,Necesito mi dosis diara d nicotina o me muero
1061854619884797952,Mon Nov 12 05:34:04 +0000 2018,creo que no puedo estar más drogada en cafeína y nicotina
1061845141579878400,Mon Nov 12 04:56:24 +0000 2018,"Deberían pagarme por todas las veces que me va mal en el amor, tendría mucho dinero para alcohol y pasar la tusa."
1061841900989308928,Mon Nov 12 04:43:31 +0000 2018,@SectorBostero Ese tipo es un maldito crack
1061838865542115329,Mon Nov 12 04:31:28 +0000 2018,"@___TeFFy___ Jamás te falte el respeto,bueno sigue."
1061823865737936896,Mon Nov 12 03:31:51 +0000 2018,"Ahora salgo a buscar como Mahoma, pero no a buscarte, salgo por nicotina."
1061803106978185216,Mon Nov 12 02:09:22 +0000 2018,Nada vuelve a ser igual dos veces .
1061801288126599169,Mon Nov 12 02:02:09 +0000 2018,"La fórmula secreta del estudio está en la nicotina y el sexo en las pausas Por eso me llevo todo ,muy boeno"
1061800919053033473,Mon Nov 12 02:00:41 +0000 2018,Soy experta en hacer las cosas difíciles e imposibles.
1061800107090370560,Mon Nov 12 01:57:27 +0000 2018,"Lo peor es que le hacen creer a uno que si, cuando no."
1061799152907177984,Mon Nov 12 01:53:39 +0000 2018,"Tengo ganas de vino y cigarrillo, pero la pereza:-(."
1061798946962583552,Mon Nov 12 01:52:50 +0000 2018,"No hablen, demuestren."
1061798641831153665,Mon Nov 12 01:51:38 +0000 2018,nicotina heroína morfina
1061796459677401088,Mon Nov 12 01:42:57 +0000 2018,Pensar demasiado lo complica todo.
1061794902785302529,Mon Nov 12 01:36:46 +0000 2018,Este año desconocí gente que creí conocer.
1061794121742999553,Mon Nov 12 01:33:40 +0000 2018,"Y aunque no estés,estas."
1061789332506378240,Mon Nov 12 01:14:38 +0000 2018,"Hay días en los que no se está mal, no se está triste,pero se siente vacío."
1061785753804521474,Mon Nov 12 01:00:25 +0000 2018,"Todo esta claro. Bienvenida nicotina a mi cuerpo ! :3 -Señor me vende media de marlboro rojo. No media no, un paquete de una vez."
1061784784073117702,Mon Nov 12 00:56:34 +0000 2018,"El alcohol, la nicotina y la cafeína son cosas que acompañan en todo."
1061757284567650304,Sun Nov 11 23:07:17 +0000 2018,Necesito uno de esos parches de nicotina.
1061734758286327808,Sun Nov 11 21:37:47 +0000 2018,"La heroína, la cocaína, la nicotina, la metanfetamina o la OxyCotin no son nada contra ti..."
1061734758286327808,Sun Nov 11 21:37:47 +0000 2018,"La heroína, la cocaína, la nicotina, la metanfetamina o la OxyCotin no son nada contra ti..."
1061728623709827077,Sun Nov 11 21:13:24 +0000 2018,Necesito nicotina!!!
1061722891400691715,Sun Nov 11 20:50:37 +0000 2018,@a_nicotina @barbastodon JAJAJJA YO PAGO MI VERGA
1061710670150942720,Sun Nov 11 20:02:04 +0000 2018,"@LaLauraGuevara @AleeUnity La demagogia y el populismo, la mentira de Chávez; claramente nos engañaron a todos."
1061710215341580289,Sun Nov 11 20:00:15 +0000 2018,@barbastodon @anablabla Abajo patriarcado papi
1061707720275816448,Sun Nov 11 19:50:20 +0000 2018,"@illingworthmoon Siono krnal, si nicotina pq somos gais"
1061703742544928771,Sun Nov 11 19:34:32 +0000 2018,"Libre cómo humo, adictiva como nicotina"
1061703317921976321,Sun Nov 11 19:32:51 +0000 2018,@Nicotina_A Es que usted si no pana jajajajaja hubiera llegado.😳
1061702398463361024,Sun Nov 11 19:29:11 +0000 2018,@Nicotina_A Jajajajajaj piroba
1061700711245848579,Sun Nov 11 19:22:29 +0000 2018,"@Nicotina_A Y uno va ver, y si jajajajaja.  Ahora estoy mood: QUIERO REPETIR.🎶 JAJAJA"
1061693815495507970,Sun Nov 11 18:55:05 +0000 2018,@Nicotina_A @little_lu___ Señoritas
1061688427853299712,Sun Nov 11 18:33:41 +0000 2018,"prendiendo nicotina, fijate nena por donde dejaste mi autoestima"
1061683908729860098,Sun Nov 11 18:15:43 +0000 2018,Hay un poco de sangre en mi nicotina
1061672545609531392,Sun Nov 11 17:30:34 +0000 2018,Pase de ser fan #1 de ir a cine a ser adicta a ver pelis en la comodidad de mi casa.
1061672076166217728,Sun Nov 11 17:28:42 +0000 2018,Las películas de terror de antes si dan miedo no como esas mamadas de ahora.
1061664313713328129,Sun Nov 11 16:57:51 +0000 2018,"Acabo de dar con una película que tiene 11 más, ya me perdieron."
1061661903011880960,Sun Nov 11 16:48:17 +0000 2018,@___TeFFy___ ¿Yo te falte el respeto?
1061659811828457473,Sun Nov 11 16:39:58 +0000 2018,@Flecha_Morada @Insistir Ni adictos a la nicotina.
1061644942928461825,Sun Nov 11 15:40:53 +0000 2018,"@sordomudaa Coño !! Llevo casi dos años sin fumar, ni nicotina ni nada. 😭"
1061639952168042496,Sun Nov 11 15:21:03 +0000 2018,@romariolucio Hahaha el azúcar y la grasa no mata como la nicotina (?)...
1061634641612955651,Sun Nov 11 14:59:57 +0000 2018,@AndreaVaquero98 ¿Has mirado si llevan nicotina los caramelos? 🤔🤔
1061609882502250496,Sun Nov 11 13:21:34 +0000 2018,@dammitgirl @zy_nahin No solo violan mujeres los violadores ¿Sabían?
1061601551033270272,Sun Nov 11 12:48:28 +0000 2018,@Zulia_FC no te pongas celoso de @BocaJrsOficial los amo mucho a los dos 🖤💙💛💙
1061589631488139264,Sun Nov 11 12:01:06 +0000 2018,Me estoy enganchando a la nicotina y eso
1061569306163642368,Sun Nov 11 10:40:20 +0000 2018,"- Ha muerto mi padre. Estamos camino del tanatorio. - Vapear es como fumar pero sin la parte mala, prueba este con nicotina ..."
1061495966359044096,Sun Nov 11 05:48:54 +0000 2018,@maibaracat_ Jajajaja es más bien fuerte que la nicotina
1061491955253854208,Sun Nov 11 05:32:58 +0000 2018,Achicando este cuerpito a olvidarse de tres años de consumo de nicotina diarios 😓
1061464688603643906,Sun Nov 11 03:44:37 +0000 2018,Nicotina...
1061464353621204992,Sun Nov 11 03:43:17 +0000 2018,¿Nunca me vas a dejar de hacer falta...nicotina?
1061451952708599808,Sun Nov 11 02:54:01 +0000 2018,Baja tres grados la temperatura y mis glandulas salivales empiezan a llorar por medio gramo de nicotina
1061447559569465344,Sun Nov 11 02:36:33 +0000 2018,"@caesarspalace_ @a_nicotina Va pues, yo me la eché con el y @melissabritop the best munchies ever loco"
1061442929397559296,Sun Nov 11 02:18:09 +0000 2018,@brianrufanacht1 Vamos a pata con nicotina
1061442263392370688,Sun Nov 11 02:15:30 +0000 2018,@aero_dinamico Una vez me como una así en la pizzería de @a_nicotina no juegan carro
1061430631228432385,Sun Nov 11 01:29:17 +0000 2018,"Nose ustedes, pero me siento poderoso cuando logro atrapar una mosca con una mano."
1061428325032321024,Sun Nov 11 01:20:07 +0000 2018,@petrogustavo Y los 200 billones den acuerdos con las farc a 15 años de donde los van a sacar? Los va a pagar ud?
1061419354720358400,Sun Nov 11 00:44:29 +0000 2018,"Justo como la nicotina, heroína, morfina, de repente soy un demonio y tu eres todo lo que necesito"
1061417385935147008,Sun Nov 11 00:36:39 +0000 2018,@NazuDantur @FarachiAlex Aumenta las miligramos de nicotina... seguramente estabas vapeando con una cantidad muy baja la cual no te saciaba
1061395624216682498,Sat Nov 10 23:10:11 +0000 2018,"@jlicum @guardiacivil @manuelcostoya8 Te lo vuelvo a repetir, ¡¡deja dechupar la nicotina de los calzoncillos!! soplapijas"
1061378600220409856,Sat Nov 10 22:02:32 +0000 2018,@consumidores tengo una pregunta.. porqué el paquete de  tabaco ya no pone la nicotina que lleva? Ha cambiado la normativa?
1061370438473920513,Sat Nov 10 21:30:06 +0000 2018,@RamirezS312 @ELTIEMPO A ver si nos informamos bien ¿No?
1061366826632908800,Sat Nov 10 21:15:45 +0000 2018,Nicotina :X
1061364423288389632,Sat Nov 10 21:06:12 +0000 2018,Vengo fumando un montón y ya ni lavándome los dientes se me va el gusto a tabaco ahhh quiero morir maldita nicotina
1061362025786499072,Sat Nov 10 20:56:40 +0000 2018,@TeoGutierrez_ Que jugador de mier
1061355315059408897,Sat Nov 10 20:30:00 +0000 2018,La nicotina actúa como un estimulante y es uno de los factores que causan la adicción al tabaco.
1061339163100921858,Sat Nov 10 19:25:49 +0000 2018,la nicotina es un asco 🤢
1061338015371587584,Sat Nov 10 19:21:16 +0000 2018,"@joshelby04 @ignaciadepano Ah, kruger, yo también. Eso si tenía nicotina...😋😋😋"
1061324576418865152,Sat Nov 10 18:27:52 +0000 2018,Verza: pucho veo pucho quiero  JAJAJAJAJJA como lo amo a este adicto a la nicotina
1061296159917031429,Sat Nov 10 16:34:57 +0000 2018,Si no  meto a danzas o a hacer algo voy a terminar rodando en diciembre:(JAJA.
1061296159917031429,Sat Nov 10 16:34:57 +0000 2018,Si no  meto a danzas o a hacer algo voy a terminar rodando en diciembre:(JAJA.
1061294161800900608,Sat Nov 10 16:27:00 +0000 2018,No se que hice tan bien para tener a un buen hombre conmigo:(.
1061286251565846528,Sat Nov 10 15:55:34 +0000 2018,@_Nicotina__ @ELTIEMPO A ver si aprendemos a escribir no?
1061281403512541185,Sat Nov 10 15:36:18 +0000 2018,"@yourmalinche No jodas, yo ni siquiera tengo llaves porque siempre las rompo."
1061280821959626752,Sat Nov 10 15:34:00 +0000 2018,@NoticiasRCN Ahora falta que digan que es culpa de los estudiantes “terroristas” con grupos del ELN.
1061280391825420289,Sat Nov 10 15:32:17 +0000 2018,"Mierda, desperté pensando que era Domingo, los efectos del guarapo. #FelizSábado"
1061279969429647361,Sat Nov 10 15:30:36 +0000 2018,"@Nicotina_A Las cosas como son jajajajajajajaja por alla llegando al río, por alla al frente de la casa de ella JAJAJAJAJAJAJAJA"
1061279830493282307,Sat Nov 10 15:30:03 +0000 2018,@Nicotina_A @little_lu___ Yo también digo que lo peguemos hoy jajajajajajaja
1061275098726969345,Sat Nov 10 15:11:15 +0000 2018,@InvictosSomos @GabrielvJulian Si si don señor
1061274196980965376,Sat Nov 10 15:07:40 +0000 2018,"@Ecogranjero Hola, no creo q sea esto posible, los filtros se quedan con toda la Nicotina y no podría crecer nada!! Mala broma."
1061267664289570817,Sat Nov 10 14:41:43 +0000 2018,@Nicotina___ @InvictosSomos Soy de Chaca yo
1061266751852298241,Sat Nov 10 14:38:05 +0000 2018,@FernandBOOM @InvictosSomos @Nicotina___ ¡Lo superaron en 24 horitas ellos! 🤣
1061264699638120449,Sat Nov 10 14:29:56 +0000 2018,@GabrielvJulian @InvictosSomos Objetivo y acertado comentario
1061264296880103425,Sat Nov 10 14:28:20 +0000 2018,@bambi_delsur @InvictosSomos No los pibes saben pero a veces dicen cosas muy estúpidas quizá si cambian eso esta página llegaría más lejos
1061263709702631424,Sat Nov 10 14:26:00 +0000 2018,@Nicotina___ @InvictosSomos Entonxws capo cual seria tu titular periodístico para la final de hoy?
1061261793539047424,Sat Nov 10 14:18:23 +0000 2018,@InvictosSomos @Nicotina___ Explícale eso a los del Monterrey porfa 🙏
1061258017684013057,Sat Nov 10 14:03:23 +0000 2018,@Nicotina___ @InvictosSomos Vamos a ver si sigues diciendo lo mismo si River le gana a Boca 😂
1061255577001705472,Sat Nov 10 13:53:41 +0000 2018,@guanchi1 @antoniobanos_ Espero que fumen mucho y se manchen de nicotina.
1061228254500134912,Sat Nov 10 12:05:07 +0000 2018,Hoy crece más la historia de este club hoy es el primer paso a la grandeza eterna @BocaJrsOficial
1061200374974033921,Sat Nov 10 10:14:20 +0000 2018,@GonBernardos En Mas és la teva nicotina Bernardos.
